Produit,Utilisateur,Date,Fiabilité,score,content
Samsung,Max,Commenté en France le 10 février 2021,Achat vérifié,4.0,"Au bout d'à peine un an je remarque que soudainement la batterie n'est plus aussi durable. Dommage c'est le seul point négatif, sinon je suis content de ce téléphone."
Samsung,A.,Commenté en France le 2 février 2021,Achat vérifié,5.0,"Tout ce qu'on peut attendre d'un smartphone. Seul petit bemol: l'appareil photo qui n'est pas au top. Mais sinon, tout est nickel. Pourquoi payer 800 euros pour un smartphone quand on peut acheter ce modele pour 150 euros?"
Samsung,Margaux Ravard,Commenté en France le 1 février 2021,Achat vérifié,5.0,Conforme à la description. Aucun souci.
Samsung,PRINGERE,Commenté en France le 1 février 2021,Achat vérifié,1.0,"Vendeur à éviter absolument, le téléphone est tombé en panne au bout de 1 an et demi, toujours sous garantie Samsung cela fait 3 semaines que je lui réclame une facture pour l'envoyer en réparation en vain en appelant Amazon tous les 2 jours. J'ai été malheureusement obligé de racheter un téléphone...Je suis plus dépitée..."
Samsung,CMOI,Commenté en France le 23 janvier 2021,Achat vérifié,5.0,"fonctionnel, léger, maniable, élégant.... à un prix plus que compétitif"
Samsung,Caillerez,Commenté en France le 19 janvier 2021,Achat vérifié,5.0,Nickel
Samsung,serge poisson,Commenté en France le 16 janvier 2021,Achat vérifié,4.0,correct
Samsung,MME E ETCHESSARRY,Commenté en France le 16 janvier 2021,Achat vérifié,1.0,"Le produit est soit disant garantie 2 ans. L’écran présente des traits verticaux, j’attends la facture depuis 11 jours pour faire jouer la garantie mais Amazon n’est pas capable de me la fournir. Il faut attendre 48 heures et encore 48 heures et encore 48 heures.... donc à fuir"
Samsung,jeremy,Commenté en France le 8 janvier 2021,Achat vérifié,5.0,Achat pour la belle mère.Très content des photos et prise en main facile.La batterie est amplement suffisante.
Samsung,Client d'Amazon,Commenté en France le 6 janvier 2021,Achat vérifié,5.0,Produits conforme à la description
Samsung,Client d'Amazon,Commenté en France le 3 janvier 2021,Achat vérifié,1.0,Au bout de 9 mois l écran se fige une plaque noire apparaît . J en ai acheté deux pour mes deux filles et les deux on des problèmes. Je vais donc contacter le vendeur. Ceci est prématuré
Samsung,SYL,Commenté en France le 22 décembre 2020,Achat vérifié,4.0,j'ai commander le Samsung A10 j'ai reçu le Samsung A10 S donc pas le bon téléphone en soit ce n'es pas un drame le téléphone a l'aire correcte celons les avis sur internet a voir une fois offert.
Samsung,M'hena,Commenté en France le 15 décembre 2020,Achat vérifié,5.0,"Super achat je ne regrette pas de l'avoir acheté, bonne qualité d'image sur tout sur les photos"
Samsung,mathieu décauché,Commenté en France le 13 décembre 2020,Achat vérifié,5.0,"Portable professionnel.  Utiliser tous les jours. Très solide,  toujours entier,  même après quelques gamelles (avec ou sans moi..)."
Samsung,FRADIN Hélène,Commenté en France le 10 décembre 2020,Achat vérifié,5.0,"Rien à redire, c'est du samsung !"
Samsung,Jérôime THIERRY,Commenté en France le 5 décembre 2020,Achat vérifié,4.0,"Très bon produit, très satisfait"
Samsung,neyens,Commenté en France le 3 décembre 2020,Achat vérifié,1.0,Recu le téléphone  écran casser
Samsung,Rosine MARCEAU,Commenté en France le 1 décembre 2020, ? ,3.0,"Le chargeur du samsung galaxy a10 a brûlé, le smartphone ne fonctionne plus après quelques mois d'utilisation. Je ne recommande pas ce smartphone ni ce site."
Samsung,josie dumiot,Commenté en France le 29 novembre 2020,Achat vérifié,5.0,tout va bien livraison dans les temps
Samsung,Client d'Amazon,Commenté en France le 24 novembre 2020,Achat vérifié,5.0,Notice dans toutes les langues sauf en français !
Samsung,Bécaye.,Commenté en France le 23 novembre 2020,Achat vérifié,5.0,J'ai acheté ce Galaxy A10 à ma mère (55 ans) qui n'avait jamais utilisé de smartphone elle en est très contente facile à utiliser.
Samsung,Bernard Grauss,Commenté en France le 20 novembre 2020,Achat vérifié,4.0,"très bel appareil, facile à utiliser et très performant"
Samsung,ahidar,Commenté en France le 20 novembre 2020,Achat vérifié,5.0,Écran tactile facile à saisir et le rapport qualité prix.  Je suis vraiment satisfait de mon téléphone.  Je recommande pour vous
Samsung,Ki Sawyer,Commenté en France le 10 novembre 2020,Achat vérifié,3.0,"Ce téléphone portable est très bien et fonctionne bien en France, mais j'ai eu un problème lorsque je l'ai utilisé en dehors de l'Europe car il était bloqué. Pas content de ça."
Samsung,PAQUET,Commenté en France le 8 novembre 2020,Achat vérifié,3.0,Telephone très bien sans soucis
Samsung,Lesvan,Commenté en France le 8 novembre 2020,Achat vérifié,5.0,"bonne taille même si au départ il m a paru grand ( j'avais 1 galaxie A4) donc très bien pour regarder une vidéo tout en ayant une taille ""normale"" pour un téléphone portable. Mon seul regret: pas de reconnaissance par empreinte digitale. Bonne qualité de photo. Rien a dire"
Samsung,yanns,Commenté en France le 7 novembre 2020,Achat vérifié,5.0,Je suis très content de ce produit par contre j'ai eu un souci lors de l'ouverture je me rends compte qu'il y a un tout petit impact sur l ecran. Il n a bien entendu subit aucun choc.J ai peur que cela empire sur le long terme...
Samsung,louis,Commenté en France le 6 novembre 2020,Achat vérifié,5.0,Merci
Samsung,lydie rosé,Commenté en France le 5 novembre 2020,Achat vérifié,5.0,ok
Samsung,emeline renard,Commenté en France le 3 novembre 2020,Achat vérifié,4.0,Cela reste un samsung d'entrée de gamme mais de bonne qualité pour une utilisation quotidienne.
Samsung,Lauren dee,Commenté en France le 31 octobre 2020,Achat vérifié,5.0,Très bon produit avec suffisamment de stockage.
Samsung,pieuchon sylvie,Commenté en France le 31 octobre 2020,Achat vérifié,5.0,Telephone de bonne facture je l ai offert pour ma femme qui en est très contente bonne prise en main est facilitée de manipulation ces samsung rien à redire de plus
Samsung,PICASSO,Commenté en France le 28 octobre 2020,Achat vérifié,5.0,très bon téléphone reconditionné comme neuf sans rayures.je recommande cette article.
Samsung,DP,Commenté en France le 28 octobre 2020,Achat vérifié,4.0,Ras
Samsung,WARTROZ FR,Commenté en France le 26 octobre 2020,Achat vérifié,5.0,"Super téléphone j'ai toujours était chez Samsung , on peux tout faire comme un vrai téléphone, dommage pour la qualité photos qui et pas ouf mais pour ce prix ça fait bien le taff largement, la batterie et très bonne et on peux jouer a de nombreux jeux  =)"
Samsung,Client d'Amazon,Commenté en France le 21 octobre 2020,Achat vérifié,5.0,ne suis pas déçue de mon achat
