content,score,thumbsUpCount,reviewCreatedVersion,at,app
"L'application est bien, nous retrouvons les series et emissions qui sont diffusée par les chaînes du groupe M6 ! Si je mets 3 etoiles, c'est parce que je ne peux pas tout visionner ! Il me vient un message pour me dire que ce n'est pas disponible dans ma situation géographique ! Je me demande si ça fait cela dns certaines regions de France, mais je ne pense pas ! Je suppose que c'est parce que je suis Suissesse ! C'est vraiment dommage !",3,15,4.16.43,2021-02-23 20:49:39,6play
"Quand il y a du réseau, ça va. Sinon impossible de faire du hors ligne, dès que le réseau est un peu capricieux, la vidéo se coupe net, ne reprend pas là où ça s'est arrêté mais quelques minutes avant, par contre à chaque reprise réseau les 3 à 4 pub s'affichent sans aucun soucis... Nécessite un mode hors ligne et une meilleure ergonomie du player (ex, appuie 2× à droite pour avancer de 10sec).",2,5,4.16.43,2021-02-25 17:00:51,6play
"Tout fonctionne bien, jusqu'à ce que l'application ne charge plus ou bien quand on souhaite passer à un épisode suivant... ça mouline pendant plusieurs minutes et rien ne se passe. Obligé de fermer l'application, de la désinstaller et de la réinstaller si je veux continuer. Déçue",3,72,4.16.43,2021-02-11 21:05:04,6play
"Bonjour , Tout à fait d'accord . Très déçue de ne pouvoir chromecaster ""TOUS EN CUISINE "" ( les anciennes émissions ) sur mon téléviseur. A quoi sert un replay pour s'arracher les yeux sur une tablette . Je me complique la vie en faisant des vidéos et en les renvoyant via mon ordinateur sur ma télé................pourquoi faire simple quand on peut embêter tout le monde . Pas sympa..!!!!!!! Si vous avez une autre solution ,je prends bien volontiers. Merci",1,70,4.16.38,2021-01-18 10:51:20,6play
"Comme pour l'application de replay myTF1 : impossible de choisir la qualité d'image des replay. Un régal de matter les émissions en 140p et les pubs systématiquement en HD... Merci d'embaucher une équipe de développeurs et de ne plus supprimer mon avis. (Qui a déjà disparu 2 fois bizarrement). Bonus : en revenant re-mettre mon avis j'ai lu que certains utilisateurs payent pour 6play ... un conseil ? Si c'est vraiment le cas, arrêtez les frais immédiatement il y a des alternatives",1,47,4.16.43,2021-02-13 20:12:32,6play
"Je m'absente régulièrement et j'ai le plaisir de retrouver des series ou téléfilm que je n'ai pas eu le temps de voir ou de suivre pendant les saisons suivantes ou même de voir ceux dont je n'avais jamais entendu parler. II arrive aussi parfois que les programmes TV ne soient pas intéressants, alors je me gave de films sur le replay",5,34,4.16.43,2021-02-04 23:35:00,6play
"En temps normal très bonne application mais voilà depuis ma dernière mise à jour impossible de démarrer une vidéo... Seules les pubs fonctionnent donc je ne l'utilise plus depuis 1 mois. Je viens de recevoir un mail qui me dit ""on ne vous voit plus sur l'application""... Vous ne m'y reverrez pas tant qu'elle ne fonctionne pas. Plusieurs mails envoyés au support, 1 seul retour avec une manip à faire dans mes réglages mais rien à faire ça ne fonctionne toujours pas.. Dommage",3,146,4.16.38,2021-01-03 12:32:54,6play
"Très clair,riche et pratique intuitif, voilà en quelques mots ce que je pense de cette application ; dès je loupe un programme sur une des chaines de l'appli, en quelques secondes,clics j'accède à ce que je veux. Par contre si elle pouvait être un poil plus rapide, tout serait parfait pour moi.",5,89,4.16.38,2020-12-19 11:30:58,6play
"J'ai téléchargé pour regarder kaamelott, 1minute30 de pub pour 3 minutes par épisode soit quasiment 30minutes de pub pour 1heure de série. L'application tourne bien mais la publicité c'est vraipent n'importe quoi surtout venant d'une chaîne nationale. Je changerais mon avis le jour où ils reverront les temps de publicité.",2,19,4.16.43,2021-02-19 17:12:37,6play
"Bonjour , je viens de changer de tablette , quand je bougeais de chez moi ,j'aimais bien regardé certaines émissions de M6 que j'avais loupé, et là suis hospitalisé donc ça aurais été cool , mais je n’arrive pas à me connecter au site ???? Et j’ai lu sur certain com que c’était le cas de pleins de gens ! M6 a t-il changé sa politique pour le visionnage de son appli???????? UN responsable de com du site aurait il 5mn de son temps pour répondre à ce problème ????Merci à M6",1,2,4.16.43,2021-02-21 16:17:46,6play
